@relation feature_vector

@attribute alpha_one numeric
@attribute alpha_two numeric
@attribute alpha_three numeric
@attribute alpha_four numeric
@attribute alpha_five numeric
@attribute alpha_six numeric
@attribute watermarked {1,0}

@data
12.46,18.15,21.07,8.31,104.26,163.92,0
9.45,12.71,17.64,18.39,17.02,171.41,0
9.88,170.12,94.7,3.27,4.01,13.41,0
84.72,10.69,15.34,147.53,174.99,94.68,0
144.76,49.41,32,32.97,146.96,35.94,1
21.56,54.09,153.43,40.25,41.29,154.42,0
102.57,158.56,21.43,11.66,12.58,13.64,0
40.92,24.04,42.26,79.62,152.73,128.97,0
27,57.51,53.5,152.81,18.81,8.86,0
3.47,4.8,1.97,1.36,3.48,3.46,0
33.38,16.16,19.42,7,114.16,142.48,0
15.14,53.79,125.21,112.21,28,152.67,0
11.37,11.64,6.8,9.01,8.84,6.87,0
14.26,9.4,16.14,166.98,14.73,18.21,0
16.02,19.16,166.88,12.57,11.78,21.6,0
61.23,15.4,9.92,119.95,86.67,81.68,0
35.13,100.55,141.84,37.66,55.3,141.59,0
27.42,49.81,129.37,107.19,10.24,162.37,0
89.33,154.83,25.68,20.39,28.57,28.12,0
34.61,27.28,21.11,11.58,45.89,151.87,0
94.44,6.23,163.09,17.86,3.1,91.4,0
24.67,15.61,156.99,95.27,170.1,6.23,0
15.74,84.58,97.43,43.3,156.65,33.72,0
146.27,59.48,29.14,147.07,77.5,33.88,0
81.29,49.75,140.81,101.2,79.17,104.9,0
164.68,13.17,123.47,166.97,15.02,80.88,0
154.89,121.03,9.18,4.95,4.95,33.02,0
5.74,3.49,3.74,172.49,167.52,7.09,0
12.15,8.86,5.31,13.66,18.02,12.04,0
56.35,152.99,32.96,32.09,71.33,123.52,0
150.23,130.49,17.6,45.36,129.33,158.17,0
93.63,154.13,18.42,5.54,4.83,9.88,0
13.58,14.18,4.17,163.52,88.81,157.34,0
28.46,31.76,13.39,36.18,150.39,27.37,0
100.71,69.8,10.2,22.74,123.48,79.85,1
87.75,10.56,7.32,24.4,86.21,97.02,1
168.63,169.64,111.72,4.51,2.36,14.64,0
174.01,99.82,7.31,8.83,7.95,4.39,0
15.53,96.03,144.35,28.02,35.59,15.29,0
4.18,11.05,15.97,12.45,11.07,10.25,0
159.73,32.86,71.8,161.7,20.83,116.91,0
15.09,15.11,14.37,13.78,165.04,80.83,0
20.45,9.77,172.4,5.91,157.33,171.29,0
14.68,4.1,4.19,5.08,19.87,170.82,0
21.4,84.43,58.6,37.94,41.25,166.43,0
118.85,43.71,135.95,70.28,55.98,119.72,0
174.7,11.19,5.68,5.01,4.83,7.31,0
10.27,11.66,10.3,161.68,158.51,9.61,0
135.8,129.53,146.89,20.76,7.54,50.97,0
92.62,61.7,171.87,46.92,125,90.24,0
16.12,4,8.57,7.48,18.05,15.79,0
